ChampionName,ChampionRole,ChampionWinRate,ChampionPickRate,ChampionBanRate
Aatrox,TOP,0.49920000000000003,0.0666,0.09880000000000001
Ahri,MID,0.503,0.0933,0.0501
Akali,MID,0.4947,0.07519999999999999,0.1231
Akali,TOP,0.4972,0.0131,0.1231
Akshan,MID,0.49,0.0215,0.0165
Alistar,SUPPORT,0.4865,0.0296,0.0109
Ambessa,TOP,0.4758,0.0347,0.20170000000000002
Ambessa,JUNGLE,0.4509,0.013999999999999999,0.20170000000000002
Amumu,JUNGLE,0.5414,0.0726,0.046799999999999994
Anivia,MID,0.5194,0.016200000000000003,0.0129
Anivia,SUPPORT,0.4714,0.003,0.0129
Annie,MID,0.5104,0.0139,0.0040999999999999995
Annie,SUPPORT,0.501,0.0024,0.0040999999999999995
Aphelios,ADC,0.4903,0.039599999999999996,0.0116
Ashe,ADC,0.4828,0.1253,0.0863
Aurelion Sol,MID,0.5024000000000001,0.024900000000000002,0.013000000000000001
Aurora,MID,0.4865,0.0368,0.08779999999999999
Aurora,TOP,0.48100000000000004,0.016,0.08779999999999999
Azir,MID,0.4693,0.018500000000000003,0.0045000000000000005
Bard,SUPPORT,0.49200000000000005,0.0223,0.0045000000000000005
Bel'Veth,JUNGLE,0.49310000000000004,0.0197,0.0219
Blitzcrank,SUPPORT,0.4879,0.0579,0.17309999999999998
Brand,SUPPORT,0.5143,0.0403,0.0652
Brand,MID,0.5205,0.009899999999999999,0.0652
Braum,SUPPORT,0.5086999999999999,0.0453,0.0256
Briar,JUNGLE,0.5188,0.049699999999999994,0.0652
Caitlyn,ADC,0.5078,0.2213,0.3251
Camille,TOP,0.4863,0.0233,0.0126
Camille,SUPPORT,0.4758,0.0032,0.0126
Cassiopeia,MID,0.5149,0.024300000000000002,0.037200000000000004
Cassiopeia,TOP,0.5192,0.0078000000000000005,0.037200000000000004
Cassiopeia,ADC,0.485,0.0040999999999999995,0.037200000000000004
Cho'Gath,TOP,0.5193,0.0482,0.0178
Cho'Gath,MID,0.5346,0.0068000000000000005,0.0178
Corki,ADC,0.4946,0.045,0.0287
Corki,MID,0.46880000000000005,0.0055000000000000005,0.0287
Darius,TOP,0.49810000000000004,0.1101,0.20829999999999999
Diana,JUNGLE,0.5164,0.0674,0.037200000000000004
Diana,MID,0.5055,0.0296,0.037200000000000004
Dr. Mundo,TOP,0.5075,0.0425,0.0398
Draven,ADC,0.4645,0.053399999999999996,0.17
Ekko,JUNGLE,0.4877,0.040999999999999995,0.0183
Ekko,MID,0.4916,0.029900000000000003,0.0183
Elise,JUNGLE,0.46130000000000004,0.0345,0.0259
Elise,SUPPORT,0.48310000000000003,0.0109,0.0259
Evelynn,JUNGLE,0.4521,0.023700000000000002,0.021099999999999997
Ezreal,ADC,0.4868,0.1419,0.046900000000000004
Fiddlesticks,JUNGLE,0.5033,0.0245,0.0128
Fiddlesticks,SUPPORT,0.5054,0.0038,0.0128
Fiora,TOP,0.47700000000000004,0.026000000000000002,0.039900000000000005
Fizz,MID,0.48950000000000005,0.0404,0.0737
Galio,MID,0.5246999999999999,0.054000000000000006,0.042800000000000005
Galio,SUPPORT,0.5047,0.0086,0.042800000000000005
Gangplank,TOP,0.4661,0.025699999999999997,0.013000000000000001
Gangplank,MID,0.479,0.0037,0.013000000000000001
Garen,TOP,0.5085999999999999,0.0693,0.0388
Gnar,TOP,0.5028,0.0345,0.011200000000000002
Gragas,TOP,0.4824,0.0271,0.026000000000000002
Gragas,JUNGLE,0.4647,0.0242,0.026000000000000002
Graves,JUNGLE,0.4916,0.069,0.0672
Gwen,TOP,0.4828,0.0292,0.030899999999999997
Gwen,JUNGLE,0.49950000000000006,0.015600000000000001,0.030899999999999997
Hecarim,JUNGLE,0.48229999999999995,0.0353,0.0194
Heimerdinger,MID,0.5421,0.008199999999999999,0.035
Heimerdinger,TOP,0.5196000000000001,0.018000000000000002,0.035
Hwei,MID,0.504,0.049,0.0504
Hwei,ADC,0.5165,0.0085,0.0504
Hwei,SUPPORT,0.5029,0.0098,0.0504
