ChampionName,ChampionRole,ChampionWinRate
Aatrox,TOP,50.22%
Ahri,MID,51.36%
Akali,MID,49.92%
Akali,TOP,49.00%
Akshan,MID,50.72%
Alistar,SUPPORT,50.48%
Ambessa,TOP,49.08%
Ambessa,JUNGLE,45.79%
Amumu,JUNGLE,51.85%
Anivia,MID,51.27%
Anivia,SUPPORT,47.43%
Annie,MID,51.45%
Annie,SUPPORT,49.77%
Aphelios,ADC,49.49%
Ashe,ADC,48.66%
Aurelion Sol,MID,50.85%
Aurora,MID,50.01%
Aurora,TOP,48.97%
Azir,MID,48.02%
Bard,SUPPORT,49.63%
Bel'Veth,JUNGLE,51.96%
Blitzcrank,SUPPORT,49.45%
Brand,MID,52.36%
Brand,SUPPORT,50.62%
Brand,JUNGLE,49.84%
Brand,ADC,50.99%
Braum,SUPPORT,50.49%
Briar,JUNGLE,48.98%
Caitlyn,ADC,50.21%
Camille,TOP,49.78%
Camille,SUPPORT,46.99%
Cassiopeia,MID,52.80%
Cassiopeia,TOP,51.87%
Cassiopeia,ADC,51.81%
Cho'Gath,TOP,51.78%
Cho'Gath,MID,53.37%
Corki,ADC,50.84%
Corki,MID,50.90%
Darius,TOP,50.83%
Diana,JUNGLE,51.79%
Diana,MID,49.74%
Dr. Mundo,TOP,49.63%
Dr. Mundo,JUNGLE,52.09%
Draven,ADC,48.23%
Ekko,JUNGLE,48.73%
Ekko,MID,49.72%
Elise,JUNGLE,47.41%
Elise,SUPPORT,51.20%
Evelynn,JUNGLE,46.73%
Ezreal,ADC,49.87%
Fiddlesticks,JUNGLE,52.30%
Fiddlesticks,SUPPORT,50.97%
Fiora,TOP,50.57%
Fizz,MID,48.08%
Galio,MID,52.52%
Galio,SUPPORT,52.89%
Gangplank,MID,50.72%
Gangplank,TOP,47.46%
Garen,TOP,51.44%
Garen,MID,51.45%
Gnar,TOP,50.89%
Gragas,TOP,50.20%
Gragas,JUNGLE,46.82%
Graves,JUNGLE,49.81%
Gwen,TOP,50.22%
Gwen,JUNGLE,51.01%
Hecarim,JUNGLE,49.81%
Heimerdinger,MID,54.03%
Heimerdinger,TOP,52.61%
Heimerdinger,SUPPORT,50.29%
Hwei,MID,50.51%
Hwei,ADC,51.85%
Hwei,SUPPORT,49.51%
Illaoi,TOP,50.60%
Irelia,TOP,50.10%
Irelia,MID,51.99%
Ivern,JUNGLE,50.44%
Ivern,SUPPORT,47.76%
Janna,SUPPORT,51.43%
Jarvan IV,JUNGLE,52.68%
Jax,TOP,49.20%
Jax,JUNGLE,52.33%
Jayce,TOP,48.23%
Jayce,MID,48.94%
Jhin,ADC,49.82%
Jinx,ADC,51.87%
K'Sante,TOP,48.36%
Kai'Sa,ADC,49.47%
Kalista,ADC,49.38%
Karma,SUPPORT,50.70%
Karthus,JUNGLE,50.93%
Karthus,ADC,51.26%
Kassadin,MID,49.85%
Katarina,MID,48.14%
Kayle,TOP,53.78%
Kayle,MID,52.00%
Kayn,JUNGLE,50.69%
Kennen,TOP,52.21%
Kennen,MID,51.68%
Kha'Zix,JUNGLE,48.92%
Kindred,JUNGLE,50.70%
Kled,TOP,50.41%
Kog'Maw,ADC,52.10%
LeBlanc,MID,48.32%
Lee Sin,JUNGLE,49.80%
Leona,SUPPORT,50.35%
Lillia,JUNGLE,50.91%
Lissandra,MID,51.74%
Lucian,ADC,50.18%
Lulu,SUPPORT,51.23%
Lux,SUPPORT,50.62%
Lux,MID,52.62%
Malphite,TOP,51.49%
Malphite,MID,51.84%
Malphite,SUPPORT,45.10%
Malzahar,MID,51.88%
Maokai,TOP,51.78%
Maokai,SUPPORT,51.46%
Master Yi,JUNGLE,49.20%
Milio,SUPPORT,50.99%
Miss Fortune,ADC,53.30%
Mordekaiser,TOP,52.19%
Morgana,SUPPORT,48.85%
Naafiri,MID,51.32%
Naafiri,JUNGLE,47.97%
Nami,SUPPORT,52.25%
Nasus,TOP,48.13%
Nautilus,SUPPORT,49.00%
Neeko,MID,50.83%
Neeko,SUPPORT,50.15%
Nidalee,JUNGLE,46.90%
Nilah,ADC,53.46%
Nocturne,JUNGLE,52.75%
Nunu,JUNGLE,49.68%
Olaf,TOP,51.14%
Olaf,JUNGLE,49.62%
Orianna,MID,51.23%
Ornn,TOP,51.57%
Pantheon,JUNGLE,52.19%
Pantheon,MID,53.14%
Pantheon,TOP,49.82%
Pantheon,SUPPORT,50.68%
Poppy,SUPPORT,52.25%
Poppy,TOP,51.59%
Poppy,JUNGLE,50.24%
Pyke,SUPPORT,48.17%
Qiyana,MID,49.44%
Qiyana,JUNGLE,48.58%
Quinn,MID,51.93%
Quinn,TOP,47.43%
Rakan,SUPPORT,49.71%
Rammus,JUNGLE,51.99%
Rek'Sai,JUNGLE,47.96%
Rell,SUPPORT,51.57%
Renata Glasc,SUPPORT,50.29%
Renekton,TOP,51.05%
Rengar,JUNGLE,46.41%
Riven,TOP,49.46%
Rumble,MID,51.95%
Rumble,TOP,49.23%
Ryze,MID,52.09%
Ryze,TOP,50.39%
Samira,ADC,49.96%
Sejuani,JUNGLE,49.48%
Senna,SUPPORT,51.19%
Seraphine,SUPPORT,49.65%
Seraphine,ADC,53.10%
Sett,TOP,52.56%
Shaco,JUNGLE,48.57%
Shaco,SUPPORT,48.94%
Shen,TOP,50.06%
Shen,SUPPORT,50.76%
Shyvana,JUNGLE,52.10%
Singed,TOP,53.88%
Sion,TOP,49.71%
Sivir,ADC,51.77%
Skarner,JUNGLE,51.87%
Smolder,ADC,49.34%
Smolder,MID,46.12%
Sona,SUPPORT,52.38%
Soraka,SUPPORT,50.69%
Swain,MID,53.24%
Swain,ADC,53.39%
Swain,SUPPORT,47.83%
Sylas,MID,49.57%
Syndra,MID,51.39%
Tahm Kench,SUPPORT,52.73%
Tahm Kench,TOP,50.50%
Taliyah,MID,52.69%
Taliyah,JUNGLE,48.65%
Talon,JUNGLE,49.51%
Talon,MID,48.74%
Taric,SUPPORT,52.95%
Teemo,TOP,52.34%
Teemo,JUNGLE,49.98%
Teemo,SUPPORT,51.32%
Thresh,SUPPORT,50.47%
Tristana,ADC,49.86%
Tristana,MID,46.21%
Trundle,TOP,52.25%
Trundle,JUNGLE,52.79%
Tryndamere,TOP,51.30%
Twisted Fate,MID,49.34%
Twitch,ADC,51.14%
Udyr,JUNGLE,49.78%
Udyr,TOP,46.63%
Urgot,TOP,54.11%
Varus,ADC,50.14%
Vayne,ADC,52.10%
Vayne,TOP,49.83%
Veigar,MID,52.18%
Veigar,ADC,53.36%
Vel'Koz,SUPPORT,53.82%
Vel'Koz,MID,52.68%
Vex,MID,52.15%
Vi,JUNGLE,51.64%
Viego,JUNGLE,51.47%
Viktor,MID,52.25%
Viktor,ADC,52.71%
Vladimir,MID,51.17%
Vladimir,TOP,50.08%
Volibear,TOP,50.17%
Volibear,JUNGLE,52.41%
Warwick,JUNGLE,51.31%
Warwick,TOP,51.13%
Wukong,JUNGLE,53.41%
Wukong,TOP,49.89%
Xayah,ADC,50.66%
Xerath,MID,51.19%
Xerath,SUPPORT,51.09%
Xin Zhao,JUNGLE,51.31%
Yasuo,MID,50.61%
Yasuo,ADC,50.13%
Yasuo,TOP,46.91%
Yone,MID,49.19%
Yone,TOP,48.35%
Yorick,TOP,51.25%
Yorick,JUNGLE,54.27%
Yuumi,SUPPORT,48.39%
Zac,JUNGLE,49.54%
Zac,TOP,50.58%
Zed,MID,47.71%
Zed,JUNGLE,49.94%
Zeri,ADC,49.43%
Ziggs,MID,51.87%
Ziggs,ADC,51.70%
Zilean,SUPPORT,52.23%
Zoe,MID,50.35%
Zoe,SUPPORT,50.46%
Zyra,SUPPORT,52.25%
Zyra,JUNGLE,50.30%
